Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Amateur_Built,Number_of_Engines,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Report.Status,Publication_Date
20001218X45444,Accident,SEA87LA080,10/24/1948,"MOOSE CREEK, ID",United States,,Fatal(2),Destroyed,,NC6404,No,1,Personal,2,0,0,0,UNK,Probable Cause,
20001218X45447,Accident,LAX94LA336,7/19/1962,"BRIDGEPORT, CA",United States,,Fatal(4),Destroyed,,N5069P,No,1,Personal,4,0,0,0,UNK,Probable Cause,19-09-1996
20061025X01555,Accident,NYC07LA005,8/30/1974,"Saltville, VA",United States,,Fatal(3),Destroyed,,N5142R,No,1,Personal,3,,,,IMC,Probable Cause,26-02-2007
20001218X45448,Accident,LAX96LA321,6/19/1977,"EUREKA, CA",United States,,Fatal(2),Destroyed,,N1168J,No,1,Personal,2,0,0,0,IMC,Probable Cause,12/9/2000
20041105X01764,Accident,CHI79FA064,8/2/1979,"Canton, OH",United States,,Fatal(1),Destroyed,,N15NY,No,,Personal,1,2,,0,VMC,Probable Cause,16-04-1980
20170710X52551,Accident,NYC79AA106,9/17/1979,"BOSTON, MA",United States,N/A,Non-Fatal,Substantial,Airplane,CF-TLU,No,2,,,,1,44,VMC,Probable Cause,19-09-2017
20001218X45446,Accident,CHI81LA106,8/1/1981,"COTTON, MN",United States,,Fatal(4),Destroyed,,N4988E,No,1,Personal,4,0,0,0,IMC,Probable Cause,6/11/2001
20020909X01562,Accident,SEA82DA022,1/1/1982,"PULLMAN, WA",United States,BLACKBURN AG STRIP,Non-Fatal,Substantial,Airplane,N2482N,No,1,Personal,0,0,0,2,VMC,Probable Cause,1/1/1982
20020909X01561,Accident,NYC82DA015,1/1/1982,"EAST HANOVER, NJ",United States,HANOVER,Non-Fatal,Substantial,Airplane,N7967Q,No,2,Business,0,0,0,2,IMC,Probable Cause,1/1/1982
20020909X01560,Accident,MIA82DA029,1/1/1982,"JACKSONVILLE, FL",United States,JACKSONVILLE INTL,Non-Fatal,Substantial,,N3906K,No,1,Personal,0,0,3,0,IMC,Probable Cause,1/1/1982
20020909X01559,Accident,FTW82DA034,1/1/1982,"HOBBS, NM",United States,,Non-Fatal,Substantial,,N44832,No,1,Personal,0,0,0,1,VMC,Probable Cause,1/1/1982
20020909X01558,Accident,ATL82DKJ10,1/1/1982,"TUSKEGEE, AL",United States,TUSKEGEE,Non-Fatal,Substantial,,N4275S,No,1,Personal,0,0,0,1,VMC,Probable Cause,1/1/1982
20020917X02148,Accident,FTW82FRJ07,1/2/1982,"HOMER, LA",United States,,Non-Fatal,Destroyed,Airplane,N14779,No,1,Personal,0,0,1,0,IMC,Probable Cause,2/1/1983
20020917X02134,Accident,FTW82FRA14,1/2/1982,"HEARNE, TX",United States,HEARNE MUNICIPAL,Fatal(1),Destroyed,Airplane,N758SK,No,1,Personal,1,0,0,0,IMC,Probable Cause,2/1/1983
20020917X02119,Accident,FTW82FPJ10,1/2/1982,"CHICKASHA, OK",United States,,Fatal(1),Destroyed,Airplane,N4876K,No,1,Personal,1,0,0,0,IMC,Probable Cause,2/1/1983
20020917X02117,Accident,FTW82FPG08,1/2/1982,"LITTLE ROCK, AR",United States,,Fatal(2),Destroyed,Airplane,N9779L,No,1,Personal,2,0,0,0,IMC,Probable Cause,2/1/1983
20020917X01962,Accident,DEN82DTM08,1/2/1982,"MIDWAY, UT",United States,FIELD RANCH,Non-Fatal,Destroyed,Helicopter,N51735,No,1,Personal,0,0,0,1,IMC,Probable Cause,2/1/1983
20020917X01656,Accident,ANC82FAG14,1/2/1982,"SKWENTA, AK",United States,,Fatal(3),Destroyed,Airplane,N7641A,No,1,Personal,3,0,0,0,VMC,Probable Cause,2/1/1983
20020917X02481,Accident,NYC82DA016,1/2/1982,"GALETON, PA",United States,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,No,1,Personal,0,0,0,1,VMC,Probable Cause,2/1/1983
20020917X02339,Accident,MIA82DA028,1/2/1982,"MIAMI, FL",United States,,Non-Fatal,Substantial,Helicopter,N23BS,No,1,Personal,0,0,0,2,VMC,Probable Cause,2/1/1983
20020917X01894,Accident,CHI82FEC08,1/2/1982,"YPSILANTI, MI",United States,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,No,1,Instructional,0,0,0,1,VMC,Probable Cause,2/1/1983
20020917X01776,Accident,CHI82DA020,1/2/1982,"CHARLOTTE, MI",United States,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,No,1,Personal,0,0,0,2,VMC,Probable Cause,2/1/1983
20020917X01657,Accident,ATL82DA027,1/2/1982,"CHAMBLEE, GA",United States,,Non-Fatal,Substantial,Helicopter,N5745Y,No,1,Unknown,0,0,0,1,VMC,Probable Cause,2/1/1983
20020917X02333,Incident,LAX82IA034,1/3/1982,"VAN NUYS, CA",United States,VAN NUYS,Incident,Minor,Airplane,N5018P,No,1,Personal,0,0,0,1,VMC,Probable Cause,3/1/1983
